id,indexs,stock,spread,,,,,,,,,,,,
383,10849,2.78,3902.517986,,,,,,,,,,,,
384,10842.5,2.78,3900.179856,,,,,,,,,,,,
385,10842.5,2.78,3900.179856,,,,,,,,,,,,
386,10841,2.78,3899.640288,,,,,,,,,,,,
387,10839,2.78,3898.920863,,,,,,,,,,,,
388,10839,2.78,3898.920863,,,,,,,,,,,,
389,10839,2.78,3898.920863,,,,,,,,,,,,
390,10836.5,2.78,3898.021583,,,,,,,,,,,,
391,10844,2.78,3900.719424,,,,,,,,,,,,
392,10844,2.78,3900.719424,,,,,,,,,,,,
393,10844,2.78,3900.719424,,,,,,,,,,,,
394,10844,2.78,3900.719424,,,,,,,,,,,,
395,10846,2.78,3901.438849,,,,,,,,,,,,
396,10854,2.78,3904.316547,,,,,,,,,,,,
397,10854,2.78,3904.316547,,,,,,,,,,,,
398,10854,2.78,3904.316547,,,,,,,,,,,,
399,10854,2.78,3904.316547,,,,,,,,,,,,
400,10846.5,2.78,3901.618705,,,,,,,,,,,,
401,10846.5,2.78,3901.618705,,,,,,,,,,,,
402,10846.5,2.78,3901.618705,,,,,,,,,,,,
403,10846.5,2.78,3901.618705,,,,,,,,,,,,
404,10846,2.78,3901.438849,,,,,,,,,,,,
405,10846,2.78,3901.438849,,,,,,,,,,,,
406,10846,2.78,3901.438849,,,,,,,,,,,,
407,10844,2.78,3900.719424,,,,,,,,,,,,
408,10844,2.78,3900.719424,,,,,,,,,,,,
409,10842.5,2.78,3900.179856,,,,,,,,,,,,
410,10844,2.78,3900.719424,,,,,,,,,,,,
411,10839,2.78,3898.920863,,,,,,,,,,,,
412,10836.5,2.79,3884.050179,,,,,,,,,,,,
413,10836.5,2.79,3884.050179,,,,,,,,,,,,
414,10836.5,2.79,3884.050179,,,,,,,,,,,,
415,10836,2.79,3883.870968,,,,,,,,,,,,
416,10836,2.79,3883.870968,,,,,,,,,,,,
417,10836,2.79,3883.870968,,,,,,,,,,,,
418,10840,2.79,3885.304659,,,,,,,,,,,,
419,10840,2.79,3885.304659,,,,,,,,,,,,
420,10841.5,2.79,3885.842294,,,,,,,,,,,,
421,10841.5,2.79,3885.842294,,,,,,,,,,,,
422,10844,2.79,3886.738351,,,,,,,,,,,,
423,10844,2.79,3886.738351,,,,,,,,,,,,
